para_id,doc_para_index,style,text
70,85,Normal,"The main findings are robust to the choice of weighting scheme. As a sensitivity check, an equal-weight specification is estimated: each of the four dimensions receives 25% of the composite score, and indicators within each dimension are weighted equally. The Spearman rank correlation between this specification and the two-stage CRITIC index reaches 0.982 across all country-year observations and 0.973 in 2021. Nine of the top ten and all of the bottom ten countries in 2021 are identical under the two approaches (Table 3). Overall improvement, subsystem divergence, spatial differentiation, and the stability of high- and low-performing country groups are therefore not artifacts of the CRITIC weighting procedure."
71,86,Normal,"Table 3. Sensitivity test: main index versus equal-weight specification, selected years"
72,87,Heading 1,4. Discussion
73,88,Normal,The most striking pattern in the composite index is not what improved but what did not. SSA's sustainability trajectory between 2001 and 2021 was defined by a fundamental asymmetry: rapid and near-universal advances in social sustainability coexisted with near-stagnation in economic sustainability. Social scores rose by more than 60% over two decades; economic scores improved by less than 7%. Nineteen of 45 countries recorded net declines in economic sustainability even as most of the same countries improved substantially on social and ecological dimensions. This is not a gap between a stronger and a weaker dimension—these two subsystems—which need to advance together for development to be truly sustainable—have instead moved apart.
74,89,Normal,"The social gains documented here are real and should not be understated. The expansion of communications infrastructure, electrification, health services, and gender equity reflects genuine improvements in living conditions across a wide range of countries and subregions. Yet the indicators that drove these gains are predominantly access-based: they measure whether people have mobile phones, whether lights are on, whether health facilities exist—not whether the economic system can independently generate and sustain the fiscal, productive, and institutional capacity to maintain these services over time. Social sustainability gains built on top of stagnant or deteriorating economic foundations are inherently fragile. They depend on continued aid flows, commodity rents, or external financing—sources of revenue that are volatile, finite, and subject to external shocks. If the productive base does not deepen alongside social expansion, the social advances achieved during 2001-2021 risk becoming increasingly difficult to sustain."
75,92,Normal,"That 19 of 45 countries experienced net declines in economic sustainability over a two-decade period is a finding that demands substantive explanation, not merely documentation. The economic indicators that deteriorated most broadly—per capita GDP growth rates, merchandise export shares, current account balances, and industrial labor productivity—point to a common underlying condition: the persistence of commodity-dependent, structurally undiversified development models. Growth in SSA during this period was real in aggregate, but it was frequently driven by primary commodity booms that left the underlying productive structure unchanged or further narrowed it. When commodity cycles turned or when global demand shifted, economies with narrow export bases and limited industrial capacity were exposed, and economic sustainability scores declined even in years when GDP grew in absolute terms."
76,93,Normal,"This finding reframes the sustainability challenge in SSA. It is not primarily a question of whether the region can grow—it has grown, in aggregate—but whether it can transform. Structural transformation from primary production and extractive industries toward more diversified, productive, and resilient economic activities is a precondition for durable economic sustainability. Without it, social and ecological improvements will eventually encounter a fiscal ceiling imposed by the weakness of the productive base. The economic sustainability dimension of the composite index captures this constraint more directly than aggregate GDP growth statistics do, precisely because it incorporates development quality, structural composition, and external resilience alongside growth rates."
77,96,Normal,"A second important asymmetry in the results is the divergence between ecological and resource sustainability. Ecological scores improved moderately—driven largely by advances in formal conservation—while resource scores stagnated and cross-country resource disparities actually widened. This divergence is analytically significant because it shows that ecological protection and resource sustainability can move in opposite directions. A country can expand its network of protected areas, improve species protection, and reduce lead exposure—as many SSA countries did—while simultaneously intensifying dependence on extractive industries, depleting freshwater stocks, and allowing forests to recede."
78,97,Normal,"In SSA, this divergence reflects a structural condition rather than an isolated policy failure. The region's comparative advantage in global commodity markets—minerals, hydrocarbons, agricultural land—has created powerful incentives to extract rather than conserve the resource base. At the same time, international conservation finance and donor support have expanded formal protection coverage in many countries. The result is a region that performs reasonably well on indicators of ecological governance and conservation intent but continues to face mounting pressure on the natural resources and ecosystems that support long-run sustainability. The divergence between ecological and resource subsystem scores is precisely what would be expected if conservation commitments are advancing faster than the transition away from extraction-led growth. Treating ecological and resource sustainability as interchangeable—as frameworks that collapse them into a single environmental dimension implicitly do—would obscure this distinction."
79,100,Normal,"The spatial results add a geographical dimension to these patterns. Southern Africa's consistent leadership reflects a combination of durable advantages—more diversified economic structures, stronger institutional capacity, better infrastructure—that have proven difficult for other subregions to replicate over two decades. West Africa's solid performance, particularly in social sustainability, reflects connectivity and demographic dividends in large, urbanizing economies such as Senegal, Ghana, and Côte d'Ivoire. Central Africa's persistent lag is harder to attribute to any single cause, but the combination of governance fragility, resource dependence, landlockedness in several key countries, and weak institutional capacity has proven consistently constraining."
